date,Total PnL,Total Volume USD,Avg Execution price,Total Fees,Number of Treads,value,classification
2023-05-01,0.0,477.0,1898.1333333333332,0.0,3,63,Greed
2023-12-05,0.0,50005.83,11038.3,12.501455,9,75,Extreme Greed
2023-12-14,-205.43473700000007,113203.35,8031.868818181818,28.300831000000002,11,72,Greed
2023-12-15,-24.632033999999997,10609.95,2.982,2.652489,2,70,Greed
2023-12-16,0.0,15348.77,0.3847066666666667,3.8371890000000004,3,67,Greed
2023-12-17,304.982785,116278.02,802.5418592857143,29.069499,14,73,Greed
2023-12-18,0.0,31164.179999999997,2178.1000000000004,7.791045,2,65,Greed
2023-12-19,1000.5386120000001,91602.41,447.8019113333333,22.900596,15,73,Greed
2023-12-20,162.732282,141636.79,6.722871666666666,35.409187,18,74,Greed
2023-12-21,537.211402,125233.97,91.84020408163265,31.308469,49,70,Greed
2023-12-22,141.832675,88874.28,30692.8325,22.218566000000003,10,74,Greed
2023-12-23,146.936704,78438.25,3.0702846153846153,19.609555,13,70,Greed
2023-12-24,1008.619956,402954.94,13680.54118025641,100.738715,39,71,Greed
2023-12-25,-245.081348,59948.51,2275.4,14.987124999999999,3,73,Greed
2023-12-27,-704.8892269999999,171411.06,0.37319214285714286,42.852747,28,73,Greed
2023-12-28,-970.730876,100117.25,0.4032943478260869,25.0293,23,73,Greed
2023-12-29,508.92214299999995,569559.72,3836.17816,142.389901,50,65,Greed
2023-12-30,354.998648,702550.21,13421.615271153847,175.637526,52,68,Greed
2024-01-01,-129.53146,264239.52999999997,10373.330666666667,66.059867,18,65,Greed
2024-01-02,783.979116,121348.74,10199.892598764705,30.337176,17,71,Greed
2024-01-03,866.015507,394499.36,738.8837898507463,98.624811,67,70,Greed
2024-01-04,-67.60364,99792.54000000001,2212.62,24.948132,5,68,Greed
2024-01-05,164.141565,1703942.66,30495.46818181818,425.985639,66,72,Greed
2024-01-06,135.58166400000002,298521.4,6586.107318181818,74.630342,22,70,Greed
2024-01-07,-835.681235,1048850.06,7513.911021649485,262.212464,97,71,Greed
2024-01-08,-269.874439,1522452.43,15078.63093734375,380.613064,128,71,Greed
2024-01-09,-826.349863,870051.97,14127.109546714286,204.012928,70,76,Extreme Greed
2024-01-10,-1517.091342,2057479.48,12914.76879230052,434.044865,193,73,Greed
2024-01-11,-164.08950099999998,305314.1,12141.70542857143,75.867171,21,76,Extreme Greed
2024-01-12,-1925.519024,200082.27,39774.47142857143,49.480726999999995,7,71,Greed
2024-01-15,152.85358,50636.1,16738.085714285717,12.652712,14,52,Neutral
2024-01-16,-2299.171458,116427.33,19105.61008888889,17.319309,9,64,Greed
2024-01-17,813.2741110000001,800831.03,20112.302,159.707606,53,60,Greed
2024-01-18,68.93319,424631.52999999997,24363.11304347826,92.657901,46,63,Greed
2024-01-19,-385.419235,428428.97,14421.93125,93.051868,48,51,Neutral
2024-01-20,-146.57487000000003,1070090.51,14671.724672933962,267.522583,106,52,Neutral
2024-01-21,266.58114600000005,103129.74,19141.940333454546,25.78243,11,56,Greed
2024-01-22,1375.640959,337878.99,6179.383261176471,67.478268,85,55,Greed
2024-01-23,-369.2447299999998,414518.93000000005,11768.913676111111,85.72457,45,50,Neutral
